Comment,Designator,Footprint,LCSC Part Number
Ferrite 120ohm@100MHz 0402,FB1,L_0402_1005Metric,C76712
100kOhm 0402,"R4,R5,R6",R_0402_1005Metric,C25741
4.7kOhm 0402,"R1,R2,R3",R_0402_1005Metric,C25900
10uF 10V 0805 X5R,C3,C_0805_2012Metric,C15850
1uF 10V 0402 X5R,C4,C_0402_1005Metric,C52923
100nF 10V 0402 X7R,C5,C_0402_1005Metric,C307331
Si2301CDS P-FET SOT-23,Q1,SOT-23,C10487
JST SH 4-pin Qwiic,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
JST PH 3-pin RA 1-Wire,J2,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,C157929
JST PH 2-pin RA Battery,J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C157932
