Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","C_0805_2012Metric",144.000000,-110.000000,-90.000000,top
"C2","1µF","C_0402_1005Metric",149.980000,-109.500000,0.000000,top
"C3","100nF","C_0402_1005Metric",153.500000,-114.500000,-90.000000,top
"FB1","120Ω @ 100MHz","L_0402_1005Metric",145.500000,-109.485000,90.000000,top
"J1","~","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",157.500000,-91.500000,-90.000000,top
"Q1","~","SOT-23",148.562500,-113.000000,0.000000,top
"R1","4.7kΩ","R_0402_1005Metric",150.000000,-92.000000,180.000000,top
"R2","4.7kΩ","R_0402_1005Metric",150.000000,-93.000000,180.000000,top
"R3","4.7kΩ","R_0402_1005Metric",148.000000,-92.000000,0.000000,top
"R4","100kΩ","R_0402_1005Metric",145.500000,-113.500000,-90.000000,top
"R5","100kΩ","R_0402_1005Metric",153.500000,-112.500000,-90.000000,top
"R6","100kΩ","R_0402_1005Metric",152.500000,-114.500000,-90.000000,top
