Designator,Value,Footprint,Manufacturer,Part Number,LCSC Part Number,Quantity
C1,10µF,Capacitor_SMD:C_0805_2012Metric,Samsung,CL21A106KAYNNNE,C15850,1
C2,1µF,Capacitor_SMD:C_0402_1005Metric,Samsung,CL05A105KA5NQNC,C52923,1
C3,100nF,Capacitor_SMD:C_0402_1005Metric,YAGEO,CC0402KRX7R7BB104,C307331,1
FB1,120Ω @ 100MHz,Inductor_SMD:L_0402_1005Metric,Murata,BLM15AG121SN1D,C85812,1
J1,~,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,JST,SM04B-SRSS-TB(LF)(SN),C160404,1
J2,~,Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,JST,S3B-PH-K-S(LF)(SN),C157929,1
J3,~,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,JST,S2B-PH-K-S(LF)(SN),C157932,1
J6,~,Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical,Generic,1×7 Female Header 2.54mm,—,1
J7,~,Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical,Generic,1×7 Female Header 2.54mm,—,1
Q1,~,Package_TO_SOT_SMD:SOT-23,Vishay Siliconix,Si2301CDS-T1-GE3,C10487,1
R1,4.7kΩ,Resistor_SMD:R_0402_1005Metric,Uniroyal,0402WGF4701TCE,C25900,1
R2,4.7kΩ,Resistor_SMD:R_0402_1005Metric,Uniroyal,0402WGF4701TCE,C25900,1
R3,4.7kΩ,Resistor_SMD:R_0402_1005Metric,Uniroyal,0402WGF4701TCE,C25900,1
R4,100kΩ,Resistor_SMD:R_0402_1005Metric,Uniroyal,0402WGF1003TCE,C25741,1
R5,100kΩ,Resistor_SMD:R_0402_1005Metric,Uniroyal,0402WGF1003TCE,C25741,1
R6,100kΩ,Resistor_SMD:R_0402_1005Metric,Uniroyal,0402WGF1003TCE,C25741,1
